model_name,notebook,spatial_resolution,temporal_resolution,unit_id,median_demand,rmse,mae,r2,skill,relative_mae,last_run_at
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,1,13.0,5.07,3.9,0.6792,0.0,0.2785714285714286,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,2,16.0,7.67,5.99,0.3701,0.0,0.3523529411764706,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,3,41.0,22.34,15.28,0.7146,0.0,0.3638095238095238,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,4,8.0,3.83,2.81,0.7494,0.0,0.3122222222222222,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,5,6.0,3.55,2.48,0.5503,0.0,0.3542857142857142,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,6,86.0,51.3,34.07,0.5839,0.0,0.3916091954022988,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,7,56.0,42.91,28.37,0.4594,0.0,0.497719298245614,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,8,553.0,225.89,166.85,0.7707,0.0,0.3011732851985559,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,9,0.0,0.91,0.7,-0.3735,0.0,0.7,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,10,5.0,2.93,2.39,-0.0864,0.0,0.3983333333333334,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,11,3.0,1.99,1.58,0.0118,0.0,0.395,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,12,3.0,2.4,1.91,-0.3793,0.0,0.4775,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,13,2.0,2.13,1.57,0.0365,0.0,0.5233333333333333,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,14,4.0,2.66,2.05,-0.0117,0.0,0.41,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,15,3.0,2.54,1.89,0.1322,0.0,0.4725,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,16,7.0,4.28,3.27,0.1105,0.0,0.40875,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,17,1.0,1.04,0.73,0.2347,0.0,0.365,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,18,0.0,0.56,0.37,-0.0771,0.0,0.37,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,19,2.0,1.36,1.03,0.2067,0.0,0.3433333333333333,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,20,0.0,0.81,0.57,-0.1725,0.0,0.57,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,21,4.0,2.54,1.95,0.2979,0.0,0.39,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,22,10.0,7.03,4.39,0.4845,0.0,0.399090909090909,2026-07-17T19:23:07
